position,player_name
1,Stone Stenhouse (WA)
2,Andy Barnett (QLD)
4,Michael Scerri (VIC)
4,Ben Foster (WA)
8,Alex Kingsbury (WA)
8,Danyal Porter (SA)
8,Morgan Evans (QLD)
8,Dave Ewing (SA)
16,Travis Crawley (NSW)
16,Clint Kappler (WA)
16,Alec Evreniadis (SA)
16,Michael Cacciola (SA)
16,Luke Anglesey (WA)
16,Cale Barrett (TAS)
16,Toby Clack (VIC)
16,Michael Hayes (SA)
32,Jake McCartney (VIC)
32,Cooper Denmen (TAS)
32,Paull Clack (VIC)
32,Gus Di Giorgio (VIC)
32,Ian Hinton (SA)
32,Blake Rawlings (TAS)
32,Rob Bowen (VIC)
32,Matt Harmon (ACT)
32,Marc Robertson (VIC)
32,Matthew Gartrell (NSW)
32,Nathan McMahon (WA)
32,Barry Kitchener Jnr (NSW)
32,Blair Kirkcaldy (TAS)
32,Mandar Ranganekar (WA)
32,Simon Gray (WA)
32,Jayden Domeika (SA)
64,Justin Sajich (NSW)
64,Trai Chan (NT)
64,Sean Dempsey (VIC)
64,Steve Saxon (WA)
64,Ben Crawley (NSW)
64,Brendan Kantor (QLD)
64,Josh Hands (QLD)
64,Ben Judge (WA)
64,Macwin Fernandes (QLD)
64,Justin Stubbs (TAS)
64,Brent Read (NSW)
64,Nick Pilat (QLD)
64,Chris Davis (NT)
64,Ruel Dancel (NT)
64,Rusty Wheeler (NSW)
64,Keegan Reid (TAS)
64,Craig Stevens (QLD)
64,Jason Yu (NT)
64,Chris Beagley (NT)
64,Ben Nunan (VIC)
64,Kyle Thomson (QLD)
64,William Kossack (NT)
64,Travis Martin (VIC)
64,Jeff Gluyas (SA)
64,Brett Broderick (QLD)
64,Phillip Thorp (ACT)
64,Paul Carlile (ACT)
64,Greg Segal (NSW)
64,Luke Foster (WA)
64,Shane Smith (ACT)
64,Nathan Miller (ACT)
64,Blake Marshall (TAS)
128,Jacob Marshall (TAS)
128,Aaron Cedric Gonzales (WA)
128,Kenny Nicol (ACT)
128,Daniel Graetz (NT)
128,Matt Power (ACT)
128,Nathan Jones (NSW)
128,Dean Welsh (ACT)
128,Kris Cherry (TAS)
128,Jakk Phillips (ACT)
128,Joe Watkins (TAS)
128,Scott Parker (VIC)
128,Malachy McNeill (ACT)
128,Dinesh Sookgreep (NSW)
128,Joseph Rennie (ACT)
128,Colin Gamble (ACT)
