position,player_name
1,Justin Sajich
2,Rusty Wheeler
3,Josh Craze
4,Dave Mierocha
6,Joshua Hands
6,Wayne Richardson
8,Jay Windross
8,Neil Armstrong
12,Brett Lapham
12,Bennon Anderson
12,Macwin Fernandes
12,Dayne Van Kempen
16,Tanya Matthews
16,Ben Middleton
16,Greg Segal
16,Rhys Daly
24,Chris Hogan
24,Jayme White
24,Dene Heremaia
24,Michael Biscoe
24,Dylan Leevard
24,Xavier Daw
24,Len Stein
24,Richard Williams
32,Kyle Thomson
32,Brent Read
32,Kerry Spengler
32,Robbie Lewis
32,Tsenguun Lkhagvajantsan
32,Brody Richards
32,Beau Young
32,Dale Kennedy
48,Emelia Ellaby-Hall
48,Sue McCord
48,Joe Seovic
48,Duain Bauer
48,Sam Southwell
48,Daniel Dickson
48,Adam Cashman
48,Ariel Lakshman
48,Joe Hughes
48,Andrew Talbot
48,Dan Moore
48,Trent Bichel
48,Robbie Sunderland
48,Chris Sutton
48,Brendan Kantor
48,Sam Burnett
64,Mike Stone
64,Neil Turley
64,Jayden Dinga
64,Christian Furner
64,Nick Pilat
64,Michael Bonney
64,Ryan Witts
64,Aliesha Anderson
64,Dean Gleeson
64,Mick Gray
64,Shaun Lorenz
64,Kieran Estreich
64,Sean Field
64,Richelle Dickson
64,Belinda Dinga
64,Brett Broderick
96,Kerry Aubrey
96,Dwayne Evans
96,Honni Campbell
96,Ricky Ogilvie
96,Joe Ford
96,Hayley Schop
96,Annie McLauchlan
96,Adam Farrell
96,Kaleb Benson
96,Blake Weaver
96,Clint Goyen
96,Annette Clifford
96,Peter Kitchener
96,Aimee Warhurst
96,Luke Sandalj
96,Anthony Kotze
96,Michael Ha
96,Dean O'Connell
96,James Buchanan
96,Peter Knight
96,Mandy Stewart
96,Mark Plowman
96,Brendan Hodges
96,Chellee Howorth
96,Scot Torrens
96,Ed Dinga
96,Shawn O'Reilly
96,Bonnie Campbell
96,Vince Lee
96,Jods Sheppard
96,Belinda Marshall
96,Karen Hextall
128,Barry Kitchener Jnr
128,BJ Borowicz
128,Marcus Osborne
128,Josh Hogan
128,Lornel Villanueva
128,Tracey Evans
128,Jason Harris
128,David Brown
128,Sharron Brown
128,Ray Milich
128,Calvin Vellnagel
128,Joel Slatter
128,Jayden Edwards
128,Helen Arnold
128,Shane Anthony
128,Timothy Olsen
128,Seb Thompson
128,Peter Smith
128,Helen Higgins
128,Kim Lakshman
128,Bruce Wallace
128,Ben Berlin-Noe
128,Mark McAleer
128,Susan Minter
128,Murdoch McLennan
128,Lisa Smith
128,Ben White
128,Aaron James
128,James Hawley
128,Lee Selby
128,Locky Inmon
128,Joe Bird
155,Flinn Southwell
155,Zegan Mitchell
155,Andrew Grueff
155,Olan O'Mahony
155,Deanne Fitzgerald
155,Cooper Hawley
155,Owen Rentoul
155,Louise Gleeson
155,Bronson Blackmore
155,Bec Jones
155,Dayton Coulter
155,Ash James
155,Lucas Dinga
155,Jon Durand
155,John Roberts
155,Devlen Brown
155,Rocki Huni
155,Alex Crook
155,Steven Aristo Jones
155,Brendan Bell
155,Drew Mead
155,Matthew Gartrell
155,Peter Dodd
155,Dave Staver
155,Reilly Moore
155,Renee Madson
155,Luber Giraldo
