position,player_name
1,Rusty Wheeler
2,Andy Barnett
4,Alex Pace
4,Cale Barrett
8,Macwin Fernandes
8,Travis Crawley
8,Ryan King
8,Josh Gorski
16,Riley James
16,Jeff Gluyas
16,Morgan Evans
16,Matt Harmon
16,Simon Singleton
16,Mathew Franceschini
16,Craig Stevens
16,Chris Beagley
32,Rhys Godden
32,Joseph Rennie
32,Travis Martin
32,Tom O'Keefe
32,Joshua Hart
32,Billy McIntyre
32,Dane Beeton
32,Adam Smith
32,Scott McKay
32,David Lynton
32,Harry Jaensch
32,Justin Stubbs
32,Adam Grace
32,Jason Tanaskovic
32,Peter O'Keefe
32,Chris Davis
64,Simon Kleinsman
64,Dave Jaensch
64,Ben Judge
64,Brodie Conroy
64,Brent Read
64,David Lyme
64,Cooper Denmen
64,Colin Gamble
64,Barry Crossey
64,Brodie Stubbs
64,Ian Hinton
64,Phil Bailey
64,Justin Thursby
64,Mark Owens
64,Kobie East
64,Robert Pendleton
64,Dylan Vonderwall
64,Graham O'Connell
64,Matthew Gartrell
64,Shane Breckon
64,Greg Segal
64,Matthew Diatschenko
64,Callan Bissett
64,Mick Norton
64,Anthony Gempton
64,Simon Gray
64,Dylan Moyes
64,John Saundercock
64,Deon Rawlings
64,Decoda Cook
64,Kain Stone
64,Nick Lynch
128,Sam Crunden-Peck
128,Matt Pisano
128,Shane Smith
128,Tony McMullien
128,Steve Argus
128,Temujin Dixon
128,Jason Doyle
128,Charles Huang
128,Patrick Cowen
128,Calum Mackay
128,Josh Johnstone
128,Jahan Pitcorn
128,Jared Rawlings
128,Nathan Appleton
128,Brodi Henville
128,Scott Coburn
128,Jordan Boyd
128,William Keogh
128,Micky Lennon
128,Tristan Matheson
128,Marchi Hami
128,Troy George
128,Kenny Nicol
