position,player_name
1,Travis Crawley
2,Justin Sajich
4,Tim Hyde
4,Alec Evreniadis
8,Peter Barnes
8,JJ Spink
8,Shannon Purcell
8,Jamie Buettner
16,Chris Johnson
16,Judy Kyranis
16,Chris Beagley
16,Ricky Perkins
16,Chris Davis
16,Brad Abdilla
16,Dan Lynch
16,Scott Mckay
32,Graeme Stoneman
32,Jayrick Ngai
32,Matthew Diatschenko
32,Jimi Serci
32,Kris Jones
32,Leigh Raaschou
32,Robbie Savage
32,Daniel Bale
32,Mick Caris
32,Raymond Harris
32,Max Hobbs
32,Jock Pittman
32,Steven Pottinger
32,Siobhan Niland
32,John Williams
32,Catherine Lindridge
