position,player_name
1,Sean Dempsey
2,Joe McClintock
4,Rusty Wheeler
4,Danyal Porter
8,Alex Pace
8,Vijay Randall
8,Ben Middleton
8,Brett Broderick
16,Xavier Daw
16,Milos Pendo
16,Patrick Gavigan
16,Kieran Estreich
16,David Mierocha
16,Sam Taylor
16,Rhys Daly
16,Craig Stevens
32,Samuel Burnett
32,Jack Green
32,Ishtiyaaq Noorah
32,Greg Segal
32,Rory Blake
32,Joshua Hands
32,Duain Bauer
32,Brent Read
32,Shannon Purcell
32,Josh Hart
32,Nathan Appleton
32,Neil Armstrong
32,Brett Lapham
32,Sarah Husband
32,Cale Barrett
32,Shaepera Gray
64,Chris Sutton
64,Luke Hobbs
64,Jayden Craig
64,Roly Gray
64,Chris Davis
64,Pat Broderick
64,Dene Heremaia
64,Jayme White
64,Alan De Ross
64,James Haining
64,Matthew Fahey
64,Lucas Fenech
64,Luber Giraldo
64,Annie McLauchlan
64,Peter Peawkumdee
64,Scott Denston
64,Louie Gandia
64,Blayde Olsen
64,Glen O'Connell
64,Curtis Fisher
64,Emelia Ellaby-Hall
64,Renee Madson
64,Cooper Hawley
64,Shaun Lorenz
64,Aaron James
64,Rocki Huni
64,Chris Snare
64,Nathan Keogh
64,ADAM FARRELL
64,Brooke Hamilton
64,Dale Smith
64,Jackson Wright
