position,player_name
1,Justin Sajich
2,Travis Crawley
4,Matthew Diatschenko
4,Ben Judge
8,Scott Coburn
8,Paul Pike
8,Paul Cesar Llano
8,Chris Beagley
16,Choco Khan
16,Shawn O'Reilly
16,Trai Chan
16,Scott Mckay
16,Steve Hale
16,Nickles Kyranis
16,Max Hobbs
16,Robbie Savage
32,Chris Davis
32,Mick Caris
32,Angelo Tsikouris
32,Damien Elmy
32,Jamie Buettner
32,Melanie Sanders
32,Scott Sims
32,Ken Kernich
32,Carl Borsi
32,Chris Johnson
32,Raymond Harris
32,Gary Atkinson
32,Siobhan Niland
32,Graeme Stoneman
32,Adam Grace
32,Peter Barnes
