position,player_name
1,Rusty Wheeler
2,Steve Halliday
4,Mick Norton
4,Steve Jamieson
8,Kris Jones
8,Jackson Agale
8,Robert Pendleton
8,Thomas Satrick
16,Brett Green
16,Peter Spencer
16,Tui Potter
16,Barry Shonhan
16,Greg Santuccione
16,Mark Bradley
16,Temple Larkins
16,Justin Thursby
32,Dwayne Evans
32,Kurt Elliott
32,Kevin Fretwell
32,Frankie Walker
32,Emelia Ellaby-Hall
32,Richard Damon
32,Paul Pike
32,Dave Eaglen
32,Albert Agale
32,Ryan Knopke
32,Rob Munster
32,Jermaine Ross
32,Elyse Harris
32,David Lynton
32,Catherine Lindridge
32,Ty Stone
64,Kevin Geissman
64,Shane Miles
64,Jon Green
64,John Cloudy
64,Nev Addo
64,Justin Sajich
64,Charlie Sailor
64,Eddie Higgins
64,Russell Rabliza
64,Dan Lynch
64,Danny Williamson
64,Cooper Pendelton
64,Leonie McCulloch
64,Robert Easter
64,Aaron Kilpatrick
64,Seb Lehtonen
64,Caleb Hawke
64,Ashley James
64,Peyton Roberts
64,Brendon Smith
64,Bruce McQuillan
64,Mick Gray
64,John Russell
64,Glenn Cullen
64,Vinay Sologar
64,Tony Harrison
64,John Shearer
64,Blair Kirkcaldy
64,Josh Mooka
64,David Vickers
64,Don Weston
64,Shane Sailor
