position,player_name
1,Justin Sajich
2,Luke Foster
4,Ben Nunan
4,Andy Barnett
8,Rob Bowen
8,Luke Anglesey
8,Dave Ewing
8,Dale Kent
16,Ben Foster
16,Mandar Ranganekar
16,Travis Crawley
16,Jake McCartney
16,Marc Robertson
16,Jamie Stevens
16,Michael Scerri
16,Sawan Naker
32,John Lehman
32,John Barton
32,Chris Johnson
32,Robert Pendleton
32,Jason Ahmad
32,Craig Stevens
32,Nathan McMahon
32,Danyal Porter
32,Mark Bradley
32,Barry Kitchener Jnr
32,Michael Cacciola
32,Blair Kirkcaldy
32,Jay Windross
32,Ian Hinton
32,Matthew Gartrell
32,Paull Clack
64,Alan Brown
64,Kenny Nicol
64,Matt Harmon
64,Wayne Stubbs
64,Alec Evreniadis
64,Damien Elmy
64,Shannon Purcell
64,Christopher Davis
64,Cale Barrett
64,Trent Reinheimer
64,Brent Read
64,Kyle Thomson
64,Jack Hunter
64,Sam Lilly
64,Jayden Domeika
64,Grant Weekley
64,David Wilson
64,Justin Kennedy
64,Scott McKay
64,Scott Henderson
64,Steve Jamieson
64,Steve Halliday
64,Adam Youd
64,Greg Segal
64,Stacey Vine
64,Ruel Dancel
64,Alex Pace
64,Joe Zhou
64,Justin Thursby
64,Matt Power
64,Dene Heremaia
64,Michael Hayes
128,Nick Pilat
128,Josh Boyle
128,Rob Sugden
128,Jason Scott
128,Brendon Smith
128,Josh Johnstone
128,Toby Clack
128,JIM CROSBY
128,Aaron Cedric Gonzales
128,Sean Field
128,Chris Hogan
128,Darren Munchenberg
128,Robbie Gannon
128,Tim Hyde
128,Jason Masterton
128,Lyndall Vine
128,Neil Turley
128,Alex Kingsbury
128,Bradley Grant
128,Colin Gamble
128,Paul Edwards
128,Justin Stubbs
128,Alex Brooks
128,Mark Suhr
128,Sean Partridge
128,Nathan Miller
128,Morgan Evans
128,Brody Conroy
128,Murray Jeffries
128,Malachy McNeill
128,Clint Kappler
128,Jason Kyranis
128,Damian Tutin
128,Joseph Rennie
128,Robbie Lewis
128,John Hilton
128,Nathan Charles
128,Sid Scott
128,Paul Carlile
