position,player_name
1,Andy Barnett
2,Justin Sajich
3,Rusty Wheeler
4,Kyle Thomson
6,Dan Moore
6,Luber Giraldo
8,Brent Read
8,Chris Davidson
12,Brett Broderick
12,Chris Furner
12,Chris Sutton
12,Al Vo
16,Dale Smith
16,Lucas Hodges
16,Jake McCartney
16,Craig Stevens
24,Jase Cattermoul
24,Peter Watt
24,Kieran Estreich
24,Devlen Brown
24,Mark McDonagh
24,Xavier Daw
24,Thanh Bui
24,Brody Richards
32,Robin Saab
32,Simon Davis
32,Nick Pilat
32,James Buchanan
32,Josh Hands
32,Ben Middleton
32,Brett Ringo
32,BJ Bell
48,Ricky Towler
48,Murdoch McLennan
48,Christopher Sourris
48,Locky Inmon
48,Ed Dinga
48,Jayden Dinga
48,Jeff Hanley
48,Dwaine Howser
48,Jayden Edwards
48,Michael Collins
48,Vijay Randall
48,DeWayne Anderson
48,Wayne Bishop
48,Neil Armstrong
48,Jessie Richards
48,Peter Johnston
64,Rob Hinckfuss
64,Sebastyan Thompson
64,Justin Thursby
64,Jason Rose
64,Martin Dhalemy
64,Sue McCord
64,Ben White
64,Sean McConville
64,Dene Heremaia
64,Graeme Kent
64,Mike Stone
64,Barry Scarborough
64,Lucas Dinga
64,Nieta Gray
64,Shayne McCulloch
64,Dylan Leevard
96,Pauline Prior
96,Brett Merritt
96,Jerry Iacano
96,Rod Mengede
96,Graham Moody
96,Peter Smith
96,Matt Talty
96,Brian Griffin
96,John Griinke
96,Corey Bowman
96,Sally Hall
96,Shawn Hafemeister
96,Callum Hensler
96,Joe Hughes
96,Michael Brent
96,Larry McCarthy
96,Ian Darcy
96,Emily Stevens
96,Steve Tate
96,Helen Higgins
96,Joe Ford
96,Mick Gray
96,Darron Wallace
96,Dave Andrews
96,John Scarborough
96,Katie Alifrangis
96,Clayton Moore
96,Brendan Schumann
96,Honni Campbell
96,Brendan Beahan
96,Andrew Talbot
96,Bob Coombes
125,Michael Graham
125,Julie Johnston
125,Brett Gray
125,Colin Williams
125,Mark Suhr
125,Zegan Mitchell
125,Aidan Panzram
125,Cameron Smith
125,Belinda Dinga
125,Peter Geffert
125,Ariel Lakshman
125,Angus Prior
125,Lachlan Talbot
125,Troy Hall
125,Gary Walters
125,Macho Aveunalliv
125,Guy Cassells
125,Cass Williams
125,Jack Schuman
125,Blake Weaver
125,Derek Stewart
125,Alex Larkins
125,Jacqui Merritt
125,Julius Yecyec
125,Kim Lakshman
125,Barry Hensler
125,Kerrie Mengede
125,David Brown
125,Tom Darcy
